date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:54	206181/206181	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0363-3eff1%22	https://colorlib.com/preview/theme/spring/css/style.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/style.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:55	11165/11165	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:34%20GMT	https://colorlib.com/preview/theme/spring/ministry.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/ministry.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:56	17051/17051	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:42%20GMT	https://colorlib.com/preview/theme/spring/sermons.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/sermons.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:56	19434/19434	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:22%20GMT	https://colorlib.com/preview/theme/spring/about.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/about.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:56	16994/16994	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:30%20GMT	https://colorlib.com/preview/theme/spring/events.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/events.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:59	13912/13912	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:26%20GMT	https://colorlib.com/preview/theme/spring/blog.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/blog.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:53:01	12006/12006	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:27%20GMT	https://colorlib.com/preview/theme/spring/contact.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/contact.html	(from https://colorlib.com/preview/theme/spring/index.html)
22:53:08	52878/52878	---M--	200	added ('OK')	image/jpeg	etag:%225c4d045f-deb7%22	https://colorlib.com/preview/theme/spring/images/sermon-1.jpg	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/images/sermon-1.jpg	(from https://colorlib.com/preview/theme/spring/index.html)
22:53:09	168943/168943	---M--	200	added ('OK')	image/jpeg	etag:%225c4d037d-2c98e%22	https://colorlib.com/preview/theme/spring/images/bg_1.jpg	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/images/bg_1.jpg	(from https://colorlib.com/preview/theme/spring/index.html)
22:53:14	23173/23173	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202020%2014:53:09%20GMT	https://colorlib.com/preview/theme/spring/sermon.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/sermon.16.delayed	(from https://colorlib.com/preview/theme/spring/index.html)
